service_id,date,exception_type
BFA25GEN-D043-Sunday-00_C27,20260101,1
BFA25GEN-D043-Sunday-00_C27,20260222,2
BFA25GEN-D084-Weekday-00_C58,20251127,2
BFA25GEN-D084-Weekday-00_C58,20251225,2
BFA25GEN-D084-Weekday-00_C58,20260101,2
BFA25GEN-D084-Weekday-00_C58,20260119,2
BFA25GEN-D084-Weekday-00_C58,20260216,2
BFA25GEN-D084-Weekday-00_C58,20260217,2
BFA25GEN-D084-Weekday-00_C58,20260218,2
BFA25GEN-D084-Weekday-00_C58,20260219,2
BFA25GEN-D084-Weekday-00_C58,20260220,2
BFA25GEN-D084-Weekday-00_C58,20260223,2
BFA25GEN-D084-Weekday-00_C58,20260224,2
BFA25GEN-E043-Saturday-00_C31,20260119,1
BFA25GEN-E043-Saturday-00_C31,20260216,2
BFA25GEN-E043-Saturday-00_C31,20260221,2
BFA25GEN-E049-Sunday-00_C42,20251127,1
BFA25GEN-E049-Sunday-00_C42,20251225,1
BFA25GEN-E049-Sunday-00_C42,20260101,1
BFA25GEN-E049-Sunday-00_C42,20260222,2
BFA25GEN-E077-Weekday-00_C52,20251127,2
BFA25GEN-E077-Weekday-00_C52,20251225,2
BFA25GEN-E077-Weekday-00_C52,20260101,2
BFA25GEN-E077-Weekday-00_C52,20260119,2
BFA25GEN-E077-Weekday-00_C52,20260216,2
BFA25GEN-E077-Weekday-00_C52,20260217,2
BFA25GEN-E077-Weekday-00_C52,20260218,2
BFA25GEN-E077-Weekday-00_C52,20260219,2
BFA25GEN-E077-Weekday-00_C52,20260220,2
BFA25GEN-E077-Weekday-00_C52,20260223,2
BFA25GEN-E077-Weekday-00_C52,20260224,2
BFA25GEN-F045-Saturday-00_C44,20260119,1
BFA25GEN-F045-Saturday-00_C44,20260216,2
BFA25GEN-F045-Saturday-00_C44,20260221,2
BFA25GEN-F049-Sunday-00_C36,20251127,1
BFA25GEN-F049-Sunday-00_C36,20251225,1
BFA25GEN-F049-Sunday-00_C36,20260101,1
BFA25GEN-F049-Sunday-00_C36,20260222,2
BFA25GEN-F080-Weekday-00_C14,20251127,2
BFA25GEN-F080-Weekday-00_C14,20251225,2
BFA25GEN-F080-Weekday-00_C14,20260101,2
BFA25GEN-F080-Weekday-00_C14,20260119,2
BFA25GEN-F080-Weekday-00_C14,20260216,2
BFA25GEN-F080-Weekday-00_C14,20260217,2
BFA25GEN-F080-Weekday-00_C14,20260218,2
BFA25GEN-F080-Weekday-00_C14,20260219,2
BFA25GEN-F080-Weekday-00_C14,20260220,2
BFA25GEN-F080-Weekday-00_C14,20260223,2
BFA25GEN-F080-Weekday-00_C14,20260224,2
BFA25GEN-FS012-Saturday-00,20260119,1
BFA25GEN-FS012-Saturday-00,20260216,1
BFA25GEN-FS012-Weekday-00,20251127,2
BFA25GEN-FS012-Weekday-00,20251225,2
BFA25GEN-FS012-Weekday-00,20260101,2
BFA25GEN-FS012-Weekday-00,20260119,2
BFA25GEN-FS012-Weekday-00,20260216,2
BFA25GEN-FS013-Sunday-00,20251127,1
BFA25GEN-FS013-Sunday-00,20251225,1
BFA25GEN-FS013-Sunday-00,20260101,1
BFA25GEN-G038-Saturday-00_C32,20260119,1
BFA25GEN-G038-Saturday-00_C32,20260216,2
BFA25GEN-G038-Saturday-00_C32,20260221,2
BFA25GEN-G039-Sunday-00_C65,20251127,1
BFA25GEN-G039-Sunday-00_C65,20251225,1
BFA25GEN-G039-Sunday-00_C65,20260101,1
BFA25GEN-G039-Sunday-00_C65,20260222,2
BFA25GEN-G056-Weekday-00_C5,20251127,2
BFA25GEN-G056-Weekday-00_C5,20251225,2
BFA25GEN-G056-Weekday-00_C5,20260101,2
BFA25GEN-G056-Weekday-00_C5,20260119,2
BFA25GEN-G056-Weekday-00_C5,20260216,2
BFA25GEN-G056-Weekday-00_C5,20260217,2
BFA25GEN-G056-Weekday-00_C5,20260218,2
BFA25GEN-G056-Weekday-00_C5,20260219,2
BFA25GEN-G056-Weekday-00_C5,20260220,2
BFA25GEN-G056-Weekday-00_C5,20260223,2
BFA25GEN-G056-Weekday-00_C5,20260224,2
BFA25GEN-H026-Sunday-00_C62,20251127,1
BFA25GEN-H026-Sunday-00_C62,20251225,1
BFA25GEN-H026-Sunday-00_C62,20260101,1
BFA25GEN-H026-Sunday-00_C62,20260222,2
BFA25GEN-H027-Saturday-00_C53,20260119,1
BFA25GEN-H027-Saturday-00_C53,20260216,2
BFA25GEN-H027-Saturday-00_C53,20260221,2
BFA25GEN-H043-Weekday-00_C51,20251127,2
BFA25GEN-H043-Weekday-00_C51,20251225,2
BFA25GEN-H043-Weekday-00_C51,20260101,2
BFA25GEN-H043-Weekday-00_C51,20260119,2
BFA25GEN-H043-Weekday-00_C51,20260216,2
BFA25GEN-H043-Weekday-00_C51,20260217,2
BFA25GEN-H043-Weekday-00_C51,20260218,2
BFA25GEN-H043-Weekday-00_C51,20260219,2
BFA25GEN-H043-Weekday-00_C51,20260220,2
BFA25GEN-H043-Weekday-00_C51,20260223,2
BFA25GEN-H043-Weekday-00_C51,20260224,2
BFA25GEN-J034-Saturday-00_C2,20260119,1
BFA25GEN-J034-Saturday-00_C2,20260216,2
BFA25GEN-J034-Saturday-00_C2,20260221,2
BFA25GEN-J034-Sunday-00_C55,20251127,1
BFA25GEN-J034-Sunday-00_C55,20251225,1
BFA25GEN-J034-Sunday-00_C55,20260101,1
BFA25GEN-J034-Sunday-00_C55,20260222,2
BFA25GEN-J056-Weekday-00_C29,20251127,2
BFA25GEN-J056-Weekday-00_C29,20251225,2
BFA25GEN-J056-Weekday-00_C29,20260101,2
BFA25GEN-J056-Weekday-00_C29,20260119,2
BFA25GEN-J056-Weekday-00_C29,20260216,2
BFA25GEN-J056-Weekday-00_C29,20260217,2
