batch	file	name	app_files	test_files	eval_files	hit_lines	classification
batch6e	backend/app/services/agent/transcript_store.py	_priority_turn_indexes	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	_bounded_earlier_turns	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/transcript_store.py	project_model_history	1	1	0	5	public
batch6e	backend/app/services/agent/trip_state.py	_apply_scenario_endpoints	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/trip_state.py	_apply_scenario_preferences	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/trip_state.py	commit_scenario	5	9	0	30	public
batch6e	backend/app/services/agent/trip_state.py	_normalized_planning_mode	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/trip_state.py	_normalized_waypoints	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/trip_state.py	_normalize	1	0	0	3	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/completion.py	_mapping_facts	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/completion.py	_object_facts	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/completion.py	_facts	2	1	0	7	multi-caller
batch6e	backend/app/services/agent/turn/completion.py	_remaining_action	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/contract.py	_admit_goal_sequence	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/contract.py	_validate_goal_graph	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/evidence.py	_apply_goal_flag	1	0	0	3	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/evidence.py	_normalized_recovery_options	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/evidence.py	_route_internal_discovery_ready	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_capture_model_completion_sources	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_count_tool_end_failure	1	0	0	3	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_continue_after_web_timeout	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_stop_on_max_tokens	1	0	0	2	inline-candidate-or-same-file
batch6e	backend/app/services/agent/turn/stream.py	_resolve_unattached_action	1	0	0	2	inline-candidate-or-same-file
