name	added_in	hits_all	hits_non_test
feedTitleFromKind	frontend/components/smart-route/left-rail/alert-feed-copy.ts	2	2
fillThemeActions	frontend/components/smart-route/map/smart-route-map-helpers.ts	2	2
finiteMinutes	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	2	2
formatWhyNotSentence	frontend/components/smart-route/left-rail/live-data/route-reason-copy.ts	2	2
hasAlertDetailFields	frontend/components/smart-route/left-rail/alert-detail.tsx	2	2
healthSignalCounts	frontend/components/smart-route/left-rail/live-data/alerts-feed.ts	2	2
incidentReliabilityText	frontend/components/smart-route/left-rail/live-data/route-reasoning.ts	2	2
interpolatedStopFeatures	frontend/components/map/route-stops-features.ts	2	2
isActionForCurrentTurn	frontend/lib/agent-chat-state.ts	2	2
isExpandableAlert	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
isKnownEventType	frontend/lib/agent-chat-event-validator.ts	2	2
isLiveFeedTime	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
isLiveTimestamp	frontend/components/smart-route/left-rail/alert-feed-normalizer.ts	2	2
isRetryableProviderFailure	frontend/lib/agent-chat-controller.ts	2	2
isSemanticWalkTransfer	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
journeyPlacesFrom	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
jsonOrRedactedUpstream	frontend/lib/backend-proxy.ts	2	2
laterDepartureAlternate	frontend/components/smart-route/left-rail/live-data/route-candidates.ts	2	2
leaveByCopy	frontend/components/smart-route/left-rail/route-view-itinerary.tsx	2	2
legEndpoints	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
liveArrivalMode	frontend/components/smart-route/left-rail/live-data/nearby-arrivals.ts	2	2
liveCountdown	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
liveHeadsignFields	frontend/components/smart-route/left-rail/live-data/nearby-arrivals.ts	2	2
locatedStopFeatures	frontend/components/map/route-stops-features.ts	2	2
mergeTurnSources	frontend/lib/agent-chat-state.ts	2	2
messagesAfterClearingEmptyFailure	frontend/lib/agent-chat-state.ts	2	2
monitoredRouteIds	frontend/components/smart-route/left-rail/live-data/alerts-feed.ts	2	2
nearbyAlertedLines	frontend/components/smart-route/left-rail/live-data/route-reasoning.ts	2	2
nearbyArrivalsState	frontend/components/smart-route/chat/near-you.ts	2	2
nearbyCondition	frontend/components/smart-route/chat/near-you.ts	2	2
nearbyStationName	frontend/components/smart-route/chat/near-you.ts	2	2
parseJsonBytes	frontend/lib/backend-proxy-core.ts	2	2
parseRetrieveFeature	frontend/lib/mapbox-search.ts	2	2
parseSnapshotArrivalCards	frontend/lib/agent-chat-session.ts	2	2
parseSnapshotRouteCards	frontend/lib/agent-chat-session.ts	2	2
parseSnapshotSources	frontend/lib/agent-chat-session.ts	2	2
parseSuggestResponse	frontend/lib/mapbox-search.ts	2	2
pickedLineFrom	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
planHeadline	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
planHeadsign	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
planRationale	frontend/components/smart-route/left-rail/live-data/route-plan.ts	2	2
planningErrorText	frontend/components/smart-route/page/use-route-planning-controller.ts	6	2
prepareRouteSubmit	frontend/components/smart-route/page/use-route-planning-controller.ts	7	2
pushCanonicalLeg	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
pushTransitDetails	frontend/components/smart-route/left-rail/live-data/route-steps.ts	2	2
pushWaitEvent	frontend/components/smart-route/chat/itinerary-event-adapter.ts	2	2
